ID 勋章名称 勋章说明 勋章图片 
1 终身成就奖  
2 优秀斑竹奖 辛劳地为论坛付出劳动，收获快乐，感谢您! 
3 宣传大使奖 谢谢您为社区积极宣传,特颁发此奖! 
4 特殊贡献奖 您为论坛做出了特殊贡献,谢谢您! 
5 金点子奖 为社区提出建设性的建议被采纳,特颁发此奖! 
6 原创先锋奖 谢谢您积极发表原创作品,特颁发此奖! 
7 贴图大师奖 帖图高手,堪称大师! 
8 灌水天才奖 能够长期提供优质的社区水资源者,可得这个奖章! 
9 新人进步奖 新人有很大的进步可以得到这个奖章! 
10 幽默大师奖 您总是能给别人带来欢乐,谢谢您! 
11 解答高手勋章 积极回答各种问题,对于像素您称的上是无所不知! 
12 网络高手勋章 对于网络技术样样精通,解堪称网络技术高手! 
13 像素元老勋章 这是对长久以来默默支持像素的元老级会员最真诚的感谢! 
14 勤奋版主勋章 勤奋的版主辛苦了,这个奖专门为你做的! 
15 论坛举报之星 长期举报一些不良帖子,并且能得到大多管理员的认可! 
16 论坛建议之星 长期向管理员提出建议,并且多数建议被管理员采纳了 
17 优秀会员 在社区表现优异,积极发表自己的原创作品,经常得到管理员的好评! 
18 音乐之星 您经常为大家带来许多动听的音乐,并多次受到好评! 
19 情感天使 充满情感的您,多次为我们带来许多酸甜苦辣! 
20 游戏大师 您是游戏高手,经常与别人分享您的经验与成果! 
21 体育之星 您是体育痴迷者,您对各种赛事了如指掌! 
22 像素之星 颁发给那些喜欢追赶像素,走在像素前沿的人! 
